source_id,qa_response
14300,"Automotive technicians can be paid through various methods including hourly wages, commission-based systems (such as flat-rate or flag-rate), and combinations of both. Their payment method can also affect their eligibility for overtime wages."
14323,"Based on the provided passages, here's how to prepare to grill a porterhouse:

1. Set up your charcoal grill by dumping a chimney of lit coals into the grill and spreading them into a double layer at the far side and a single layer in the center.
2. Leave the section closest to you coal-free.
3. Replace the grill grate.
4. For a gas grill, set it up for three-zone grilling.
5. Clean the hot grill grate with a grill brush and lubricate it with a grill oiler or a folded paper towel dipped in vegetable oil before placing the porterhouse on it."
14353,"To fold a quilt, first lay it flat on a surface. Then, fold the lower right corner up towards the center along the bias, followed by folding the lower left corner up towards the center also along the bias. Next, fold the top left corner down towards the center along the bias, and finally, fold the top right corner down towards the center along the bias."
14355,"The benefits of a water pick include helping to keep teeth, gums, and mouth healthier by eliminating germs and plaque, massaging and stimulating soft tissue in the mouth to reduce the risk of gingivitis, and cleaning around the teeth and gums more effectively than brushing alone, reaching areas that brushing cannot access."
14360,"Based on Passage 2, to set the default browser in Windows, follow these steps:
1. Open the Settings app.
2. Click on ""System.""
3. In the left pane, click ""Default apps.""
4. Scroll down to the ""Web browser"" section.
5. Select your preferred browser from the options listed to set it as the default."
14366,"The proper way to dispose of a worn USA flag includes burning the flag in a peaceful manner or conducting a proper ceremonial burning where the flag is first folded into a customary triangle fold. If burning is not possible, the flag can be collected for disposal after removing the blue field; the blue field should then be burned peacefully and the ashes buried."
14375,"To cook brats, follow these steps based on the provided passages:

1. Prick the bratwurst with a fork.
2. Place the bratwurst in a large pot with onions, butter, and beer.
3. Simmer on medium heat for 15 to 20 minutes.
4. Preheat a grill for medium-high heat and lightly oil the grate.
5. Grill the bratwurst for 10 to 14 minutes, turning occasionally."
14390,"Irritable Bowel Syndrome (IBS) symptoms include diarrhea, constipation, abdominal pain or cramps that worsen after meals and improve after a bowel movement, and excessive gas or bloating. The causes are believed to involve abnormal gastrointestinal (GI) tract movements, increased sensitivity to pain, altered nervous system signals, and food intolerances. The exact mechanism remains unclear but may involve a combination of these factors disrupting the communication between the brain and the GI tract."
14392,"Essential amino acids cannot be produced by the body and must be obtained through diet, whereas nonessential amino acids can be synthesized by the body, making them not necessary to obtain directly from food."
14394,"In Indiana, the typical weather includes hot, humid summers and chilly, windy winters. Year-round, it experiences variability in precipitation, with significant rainfall and occasional snowfall, particularly in winter months. Temperatures range from about 22°F to 85°F throughout the year."
14396,"To sync an audiobook from iPhone to iTunes, first download the audiobook through iTunes on your computer. Then, connect your iPhone to the computer via USB. Once connected, open iTunes where you should see your iPhone listed under Devices. Navigate to the Books section, select the audiobook(s) you wish to sync, and click ""Sync Audiobooks"". After confirming, the selected audiobook(s) will be synced to your iTunes library on the computer."
14404,"The body systems work together through interdependent functions; for example, the urinary system cleanses waste products from the skeletal, muscular, digestive, respiratory, circulatory, and nervous systems, while the respiratory system supplies oxygen to and removes carbon dioxide from these same systems."
14418,"The name Teresa has meanings related to harvesting and reaping, derived from the Greek ""therizein,"" which means ""to harvest, harvester."" Additionally, it is associated with the names of two popular saints, Teresa of Avila and Therese of Lisieux, particularly in Spanish contexts."
